position,skills
Formulation Scientist,"R&D,Formulation,Healthcare,Medical,pharma,Pharmaceutical,research"
Chief Medical Officer/Head Medical Services,"MBBS,Medico Marketing"
HR Executive,"Training,Administration,Consultancy,HR,Payroll administration,Employee relations,Recruitment"
Team Lead/Technical Lead,"Transportation,Warehouse,Operations,CFS"
Institutional Sales/Business Development Manager,"HNI SALES,corporate sales"
Sales/Business Development Manager-Broking,"night shift,nav,Fund Accountant,net asset value,fund accounting"
Software Developer,"Perl,Linux,MySQL,server,software,administration,Debugging,it,tools,Unix shell scripting,System administration,cloud,web,infrastructure,devops,openstack,developer,Distribution system,AWS,unix,Python"
Software Developer,"C,Six Sigma,Python,assembly language,HTML,it,SQL,PMP,java,web,JavaScript,.NET,.net,developer,Oracle"
Warehouse Manager,"Raw material,Pharma,MSC,Warehouse,Inspection,Chemical,Com,Check,Bsc"
Associate/Senior Associate -(NonTechnical),"idea,customer service,teleperformance,hcl,airtel,Customer Care,exl,International Process,wns,vodafone"
Retail Store Manager,"Customer Relationship,Team Handling,Health Care Services,Counter Sales,retail store manager"
Sales Executive/Officer,"Corporate sales,Sales Executive"
R&D Executive,"Thermodynamics,Engine testing,Troubleshooting,Data analysis,Interpersonal skills,SCR,Excel,Commercial vehicle,development testing,IC engines"
Software Developer,"node js,core java,node.js,java,senior java developer,j2ee"
Sales/Business Development Manager,"Marketing management,Interpersonal skills,Business Executive"
Associate/Senior Associate -(NonTechnical),"Outbound,Antivirus,Technical support,Technical Support Executive,US shift,Inbound voice process,Sales Associate,Customer Service Executive,Comp,International BPO"
Telecalling/Telemarketing Executive,"bpo,night shift,call centre,international bpo,cce,inbound,tse,customer care,ites,cco,dell,tso,technical support,fresher,voice process,chat,undergraduate,email"
Team Lead/Technical Lead,"Instructional design,Microsoft applications,Sales Executive,Adobe,Recruitment"
Team Lead/Technical Lead,Cyber Security
Software Developer,"Analyst,Google Analytics,Analytical,Link exchange,HTML,Link building,SEO,Digital marketing,Social bookmarking,Search engine optimization"
Database Architect/Designer,"Detail Design,Service Delivery,Business Services,Service Design,Architectural Design,Security Compliance,Solution Design,Project Planning,Solution Architecture,Stakeholder Management"
Public Relations & Media Relations Manager,"pr,public relations,social media,development,alliances,mass communication,website,conferences,ms office,brand awareness"
Trainee,"Design Verification,freshers,Fresher,RTL Design"
Voice & Accent Trainer,"Training,Teaching,Soft Skills,VNA,Facilitation,Content Development,Communication Skills,People Management Skills,Presentation Skills,Lecturer Activities"
Software Developer,"development,rrc,level,l2,testing,system design,mac,coding,design,wireless,lte,programming"
Recruitment Executive,"Interpersonal skills,Email,Analytical,UPS,Problem,Recruitment"
Recruitment Executive,"Communication Skills,IT Recruitment,Hiring,HR Recruiter"
Soft Skills Trainer,"Usage,Excel,Nutrition,Soft skills training,Curriculum development,Quality audit,Audit report,Research,Powerpoint,Quality Auditor"
ERP Consultant,sap co
Software Developer,"J2Ee,Agile,Front end,Distribution system,Financial services,MongoDB,cassandra,Strategic partnerships,Software Engineer 2,Programming"
Associate/Senior Associate -(NonTechnical),HR
Recruitment Executive,"resource management,Bench Sales,Bench Management"
Lab Technician/Medical Technician/Lab Staff,"critical care,Consultant,medicine,ICU,hospital,resident"
Software Developer,"HTML,CSS,Javascript,Ajax,JSP,Apache Tomcat,Spring Framework,Maven,Core Java,JBoss"
Sales Coordinator,"business planning,business strategy,sales distributions,team management,banca,corporate strategy,Sales Planning,Sales Strategy,Strategic Planning"
Chartered Accountant,"tax,accounts,accounting,cost analysis,transactions,taxation,reconciliation"
Team Lead/Technical Lead,"Brd,FSD,External Audit,Third Party Products,System Analysis,UAT,Digital Transformation"
Software Developer,hibernate
Content Developer,"Press release,Literature,Blog writing,Talent acquisition,Research,SEO"
Software Developer,"jQuery,Web technologies,Coding,Analytical,OOPS,Web development,Javascript,PHP,HTML,MVC"
Accounts Executive/Accountant,"Usage,Account management,Manager Quality Control,Senior Accounts Executive,Management,Operations,Advertising,Fact,Recruitment"
Software Developer,"SQL,Linux,MySQL,development,Email,Views,software,testing,it,UVM,quality,analytics,cloud,Backend,java,RDBMS,Machine learning,design,Python"
Team Lead/Technical Lead,Perl
Software Developer,"VDI,Citrix"
Teacher/ Private Tutor,"development,maths,game,learning,education"
Software Developer,"algorithms,sqlite,data structures,graphics,mobile application development,ios"
Sales/Business Development Manager,"Relationship management,Training,Supervisor,Quality improvement,Automobile,Relationship,Management,Sales Executive,Monitoring"
Data Analyst,"Data Science,Scala,Hadoop,Big Data,Spark,ETL,Machine Learning"
Treasury Manager,"Indian Accounting,Finance,Auditing,Administration Management,Banking,Cfo,Money Market,Working Capital,Financial Control,Cash Flow"
Sales Promotion Manager,"Wealth Management,hni sales,brand promotion,pr management,hni client handling,public relations,brand management"
Technical Architect,"Co,SAP FICO,SAP FI,Finance,Technology Consulting,Artificial Intelligence,Requirement Gathering,Business Strategy,Agile DevOps"
Trainee,"software development life cycle,BCA,fresher,it fresher,oops,mca,problem solving,bsc - it,analytical skills,communication skills"
Marketing Manager,"customer profiling,market research,sales executive,marketing executive,distributors,sales strategy,Business Development"
Special Education Teacher,"Tutoring,Teaching,MBBS,Coaching,Medical,Trainer"
Project Manager-IT/Software,"Trigger,Procedures,packages,Project planning"
Freelancer,"Front end,Development Manager"
Taxation(Direct) Manager,"Income tax,International taxation,Appeals,Research,Management,Advisory,Client management,Corporate taxation,Tax returns"
Software Developer,"PHP,Marketing Executive,CCNA,Internet technologies,Wordpress,E-commerce,developer,it"
Teacher/ Private Tutor,"bed,music teacher,craft,Teacher,teaching,ma,computer skills,school,Mother Teacher,Pre Primary Teacher,english,Computer,Hindi Teacher,art & craft teacher,cbse,ba,ed"
Software Developer,"Unix,websphere mq,MQ,Weblogic,Ansible,Unix Shell Scripting"
Testing Engineer,"clear quest,c,v - model,istqb,ibm rational,embedded testing,test case design,test reporting,stlc"
Software Developer,"c++,C,design,MySQL,JavaScript,HTML"
Banquet Sales Executive/Manager,"Retail,B2C,Product service,Analytical,Relationship,Corporate,Banquet sales,Management"
Technical Support Engineer,"Networking,VPN,Active directory,DNS,Healthcare,Windows,Troubleshooting,microsoft,Technical support,SQL"
Software Developer,"software development,life cycle,c sharp,toad,sql developer,dot net framework,tools,dot net,oracle data base,application development"
Sales/Business Development Manager,"foods,bakery,food technology,business development,confectionery,sales,sales manager,biscuit,snacks,food processing"
Software Developer,"Data analysis,SQL,Python,Fund accounting,Machine learning,Support services,Asset management,QlikView,Monitoring,Financial services"
Company Secretary,"SEBI,Securities Law,Stock Exchange,Legal,FEMA,Company Law,Corporate Governance,Company Secretary,Secretarial Activities,Corporate Law"
HR Executive,"Training,talent acquisition,selection,recruitment,Induction,generalist hr"
Financial Analyst,"SAP,Financial planning,Forecasting,Corporate finance,Business planning,Front office,Monitoring,Analytical,Process management,Business case"
Fresher,"International BPO,Call Center,Non Voice Process,Customer Care,Calling,Domestic,inbound,voice process,international call center,BPO,KPO,LPO,Domestic BPO"
Software Developer,"Technical Documentation,Marketing Collaterals,Word Processing,Web Content,Technical Writing,Adobe Acrobat,Version Control,English Language,Web Technologies,Computer Science"
Client Servicing/Key Account Manager,"Key Account Manager,Mutual Fund Sales,Sales,Cross Selling,Up Selling,Key Account Management,Card Sales,Life Insurance Sales,Banking Sales"
Team Lead/Technical Lead,"Automation,Application development,Coding,Infrastructure management,Business process management,Artificial Intelligence,Genetics,SCALA,Lead Business Analyst,Technical Lead"
Technical Architect,"java,web application security,owasp,c,networking,appplication security,penetration testing,code review,information security,cloud,scanner,appscan,nessus,burp,risk,threat,vulnerability assessment,vulnerability management"
Associate/Senior Associate -(NonTechnical),"bba,bcom,fresher,international bpo,voice process,telecom,ba"
Software Developer,"Java,CSS,DOM,Html5,XML,JSP,Javascript,JSON,JQuery,Ajax"
HR Executive,"us it recruitment,us recruiter,us staffing,bench sales"
Sales/Business Development Manager,"Loans,Sales,Networking,Relationship building,Management,Channel development"
Associate/Senior Associate -(Technical),"Drilling,PLM,Administration,Due diligence,PGDCA,Renewable energy,Aerospace,Quality systems,Continuous improvement,Material handling"
Sales/Business Development Manager,"Corporate Sales,Finance,Cross Selling,Casa,Dealing,Presentation Skills"
Software Developer,"Email,Coding,XML,MySQL,Javascript,PHP,Application development,Customer service,Open source,Facebook"
Sales Executive/Officer,"Sales,Consulting Sales,B2B Sales"
Service/Maintenance Engineer,"Customer Service,Warranty,CSI,Customer Complaints,Customer Retention,Service Engineer,after sales,after market"
Sales Coordinator,Business Development
Software Developer,SAP
Software Developer,"Unix,Computer science,Front end,Web technologies,Linux,Coding,MVC framework,Functional testing,Risk management"
Sales/Business Development Manager,"FMCG Marketing,Hotel Management,New Business Development,New Business,B2B Sales,Sales,Events,b2b marketing,Business Generation,Cold Calling,FMCG Sales,Business Development"
Software Developer,"PHP,Information technology,SQL,Computer science,Computer languages,software,Database,Sound,BASIC,programming,Python"
Credit Manager-Corporate Banking,"SAS,Risk Analytics,Data Analytics,Statistics,Analytics,SQL"
Software Developer,"Biztalk,IT architecture"
Testing Engineer,"automation testing,qtp,vb script,quality center,Automation Tester"
Service/Maintenance Engineer,"senior management,retrofit,overhauling,AMC,pumps"
Team Lead/Technical Lead,"QA,Javascript,Web development,Scrum,Unit testing,Integration testing,continuous integration,Test case execution,Manager Quality Assurance,Automation testing"
Team Lead/Technical Lead,"layout design,eda tools,product development,production support,cmos,cadence virtuoso,c,c++,java,visual basic"
Business Alliances Manager,"Business Forecasting,Business Intelligence,New Market Penetration,Market Study,Data Manipulation,Data Analysis,Cost Benefit Analysis,Dashboards,Market Research,Business Analysis"
Sales Executive/Officer,"sales,business development,field work,fresher,marketing,lead generation,inside sales,cold calling,branch sales,loan sales,relationship officer,marketing officer,bba,bca,ba,mba,ma,bsc,Bcom,bbm"
Operations Manager,"sales operations,customer operations,order management,trade compliance,Order Management System,Oracle Order Management"
Marketing Manager,"Sales,Marketing Management,business development management,Social Media Marketing"
Software Developer,"Java,RSA,Eclipse,Web Technologies,MS SQL Server"
Associate/Senior Associate -(Technical),"BPO,Outbound,Technical support,process,Senior,Technical,Domestic BPO,US shift,Bonus"
Search Engine Optimisation /SEO Specialist,"SEO,HTML,microsoft,Content writing,Analytical,Link building,SMO,Software services,Online research,Search engine optimization"
Marketing Manager,"br,awareness,management,social media marketing,social networking,monitoring,social media,tracking,account management"
Software Developer,"Rest,SOAP,Software Development,Postgres,Github,Web Technologies,Agile Methodology,Communication Skills"
Sales/Business Development Manager,"Public relations,Service,Recruitment,New business development,Account Director,Manager Client Servicing,Business planning,Service delivery,Email,MNC"
HR Executive,"bpo recruitment,bpo hiring,non it recruitment"
Service/Maintenance Supervisor,"Mechanical Engineering,Mechanical Engineer"
Financial Analyst,"Financial Analysis,MIS,Reconciliation,GSt,variance analysis,financial planning,Financial forecasting,MIS Reporting,budgeting"
Software Developer,"javascript,css3,html5,GIT,React.Js"
Software Developer,"embedded c,c++"
Software Developer,"c#,asp.net mvc,oracle,ood,ms sql server,jquery,UML,design patterns,web technologies,asp.net,.net,ms.net,azure"
Sales/Business Development Manager,"Service,Customer care,Consumer electronics,Agile,Customer satisfaction,Business Executive,MIS reporting,Customer experience,staff,Control"
Accounts Executive/Accountant,"accounts executive,executive assistant and front office and data entry,back - office processing,accounts assistant,accountant,finance executive,tally erp,Purchase Management,accounts tally,tally,distribution management"
Trainer,"Bed,Training,Mechanical,Science,Physics,Teaching"
HR Manager,"Screening,Staffing,Hiring,Sourcing,HR,Technical Recruitment,Branding,Interviewing,Marketing,Talent Acquisition"
Associate/Senior Associate -(Technical),"Voice Process,Service Desk,service desk analyst,service helpdesk"
Software Developer,"react.js,Angularjs,css,html5,ui development,html"
Design Engineer,Marketing
Associate/Senior Associate -(NonTechnical),"Analyst,Logistics,Automation,Engineering services,Supply chain,Legal compliance,Freight forwarding,Testing"
Associate/Senior Associate -(NonTechnical),"Outbound,Antivirus,Night shift,Sales,Spot,Inbound calls,Medical,Software,Technical support,Comp"
Outside Consultant,"Tools,SAS,Regression,Algorithms,Setup,SAS R,Business Executive,Forecasting,Research,Logic"
Medical Officer,Orthopedics
Data Analyst,"Deep Learning,R,SAS,SQL Queries,Data Science,Machine Learning,Data Mining,Logistic Regression,Statistical Programming,Data Visualization,SQL"
Database Architect/Designer,"Design Engineering,Software Design"
Product Manager,"Product Design,New Product Development,Product Management,Consumer Insights,Process Flow,Solution Design,Revenue Generation,Development Management,Communication Management,Client Management"
Accounts Executive/Accountant,"Root cause analysis,asset servicing,Reconciliation,Accounting,Banking operations"
Branch Manager,"revenue generation,hni,training needs,pms,branch manager,wealth management,relationship,forex,sales,broking"
Software Developer,"Analytics,SEO,Auditing,HTML,Link building,Algorithms,Keyword research,Search engine,Guest,Off-page optimization,c,css,software,service,website,ui,com,optimization,research,web,net,it,quality"
Technical Architect,"Technical Management,Application Development,Java EE,Microservice,SOA,Spring framework,OpenShift,Chef,Ansible,Puppet"
Quality Assurance/Quality Control Manager,"Project Administration,Administration Manager,Operations Manager,Report Preparation,Process Improvement,Senior Management,Admin Manager,Quality Assurance,Project Planning,Operations Management"
Software Developer,"HTML,Javascript,CSS,JQuery,Html5,XML,OOPS,Front End,Angular,Angularjs"
Executive/ Sr Executive - Administration,"Facility management,Charts,Senior Executive Administration,admin executive,Administrator Department,Employee welfare,Recruitment,Management Executive,Administration work,Report preparation"
Software Developer,"postgresql,mysql,mvc,redis,postgres,javascript,ruby,ruby on rails"
Chartered Accountant,IFRS
Accounts Executive/Accountant,"SAP,Chartered Accountant,Indirect Taxation"
Software Developer,"Design Patterns,Html5,OOPS,C#.Net,Javascript,ASP.Net,Team Foundation Server,.Net,Entity Framework,Page"
Other,academics
Software Developer,"c#,web forms,.net,wcf"
IT/Networking-Manager,"Installation,IT Networking,Configuring,Maintenance"
Technical Architect,"Technical Architect,Architecture,Performance engineering,Development Lead,Manager Technology,Application Lead,Outsourcing,Technical architecture,sap hana,Operations"
HR Executive,"Supply chain,Head hunting,Factory operations,Database,Back office operations"
Associate/Senior Associate -(NonTechnical),"Customer Care Executive,Bpo Executive,Call Center Executive,Tech support Executive"
Software Developer,"RabbitMQ,Java,Core Java,NoSQl,Architecture,Design Patterns,MySql,Redis,Active MQ"
Software Developer,"development,xml,design patterns,ado net,web services,xsd,dot net framework,net,xml schema,verification,asp net"
Software Developer,"python,Web Crawling"
Mechanical Engineer-HVAC,"HVAC,SAP,Business excellence,PHP,HTTP,Mechanical engineering,Heat ventilation air conditioning,HVAC system,Logistics,Quotation"
Marketing Manager,"ERP,Guest,Outbound sales,Rating,Service,Sound,Customer experience,Management,Business Executive"
Software Developer,"HTML,Javascript,PHP,developing,mca,it,tools,Joomla,jQuery,OSCommerce,Version control,web,Wordpress,Open source,Ajax"
Medical Transcriptionist,"evaluation,medical coding,medical coder,EM"
Regional Manager,"Sales,Industrial Sales,Distribution,Key Account Management,Channel Management,B2B Sales,Sales Planning"
Testing Engineer,"Business process,Automation,Defect tracking,Functional testing,Test execution,Test planning,Selenium,Outsourcing,Operations,SQL"
Graphic Designer,"Photoshop,Graphic designing,Graphics,Illustrator,Budgeting,Software design,Project implementation,Corporate identity,Web technologies"
Team Leader -(NonTechnical),"Recruitment,Consulting,Wordpress,Analytical skills,Architecture,ARM,Recruitment consulting,Finance"
Business Analyst,"asset servicing,Analyst,Data management,Analytical,Finance,Quantitative analysis"
Technical Architect,"C++,SAS,SQL,Computer science,Business objects,Business reporting,Analytical,Perl,Data mining,Business intelligence"
Sales Executive/Officer,"sme,loans,incentives,english,ssi,benefits,business banking,communication skills,senior level,sme sales"
Audit Manager,"Audit,auditing,internal audit"
Trainee,"sap sd,sap sales distribution"
Project Lead,"C,Python,Six Sigma,PMP,.NET,HTML,JavaScript,SQL,Oracle,assembly language,Real Time Operating Systems"
Program Manager,"Recruitment,Project management,Delivery Head,Management,Research,Database,Training"
Testing Engineer,"Java,Software Development,Open Source,Oracle SQL,MySQL,Database Management,Agile,Automation Testing,Scrum,Test Lead"
Product Manager,"Internet technologies,PMP,Customer satisfaction,Presales,Post sales,HTTP,Software implementation,Business Executive,Enterprise software,Enterprise sales"
Solution Architect / Enterprise Architect,"Technical Architect,Network Infrastructure,Network Protocols,Cloud,Ansible,Datacenter,Solution Design,Network Architecture,Python"
Software Developer,"Linux,MS SQL Server,.Net"
Associate/Senior Associate -(NonTechnical),"Technical support,Outbound,Troubleshooting,English,Domestic BPO,US shift,International BPO,iPhone,process"
Associate/Senior Associate -(NonTechnical),"Outbound,Night shift,Recruitment,English,Email,US shift,Troubleshooting,Technical support,Comp,International BPO"
Pediatrician,"Pediatrics,MD,Dch,Neonatology,DNB"
Head/VP/GM-HR,"Hr Transformation,Change Management,Capability Building,Stakeholder Management,Knowledge Management,Process Planning"
Software Developer,"Core Java,PHP,SEO,algorithms,development,website,btech,technical,software,methods,Web development,developing,HTTP,Computer science,analytics,java,web,ASP.Net Ajax,service,design,Flex,Consultancy,developer,Python"
Team Lead/Technical Lead,"SQL,PLSQL,PL,Data Integration,Data Modeling,Effort Estimation,Design Development,Data Processing,Business Intelligence,Pentaho,Spark,Software Architecture"
Sales/Business Development Manager,"Territory Sales Management,FMCG,sales,marketing,business development,territory sales manager"
Business Analyst,"ERP,Project implementation,Business Analyst,Architecture"
Associate/Senior Associate -(NonTechnical),"Business Executive,Training,data analysis,Customer Service,Help Desk,Information,Telephony support,customer relationship"
Recruitment Executive,"head hunting,it recruitment,recruitment,Hiring,Sourcing,Technical Recruitment"
Associate/Senior Associate -(NonTechnical),"Outbound,Service,English,Technical Sales Executive,Inbound calls,process,pay,Business Executive,Printers,Technical"
Finance Executive,"accounting,finance,auditing,internal audit,ifc,chartered accountant,sox compliance,coso,financial control,financial accounting"
HR Executive,"HR,Recruitment,hiring,talent acquisition,resourcing,HR activities"
System Administrator,"linux system admin,linux administration,Linux Administrator,linux system administrator,Linux System Administration,linux admin,unix"
Executive/ Sr Executive - Facility Management,"Administration,Front Office,Reception,facilities,Guest Relations,EPABX"
Technical Support Engineer,"Core Java,PLSQL,Application Support,J2Ee,High Level Design,Oracle,PL,SQL"
IT/Networking-Manager,"iso 27001,it security,PCI DSS,firewall,Vapt,OWASP,siem,vulnerability assessment,ips,nessus,security audit"
Sales/Business Development Manager,"insurance,Finance,Banking,Channel Sales,business development management,marketing management,life insurance,Marketing,Marketing Manager,Sales,Field Work,channel sales manager"
Associate/Senior Associate -(NonTechnical),Customer Care Executive
Accounts Manager,"Accounting,SR"
Head/VP/GM-Marketing,Marketing
Team Lead/Technical Lead,"apache,co ordination,linux,media planning,php,account planning,mysql,irs,analysis,research"
Fresher,"makeup artist,modeling,beauty,fashion stylist,android,film making,mca,engineering,film,phd,android development,computer science,film production,ad films,fashion designing,fashion photography,photography,acting,fashion"
Direct Marketing Executive,"seo,keyword research,link building,digital marketing,ppc,sem,online marketing,Social Media Marketing,Internet Marketing,email marketing"
Business Analyst,"Business Planning,PMO,cross functional coordination,program management,ms office,Stakeholder Management"
Recruitment Executive,"resourcing,hiring,Sourcing,bulk hiring,Job Posting,Recruitment,Talent Acquisition,staffing"
Team Lead/Technical Lead,"Jenkins,DevOps,Azure,Git,Chef,Ansible,AWS,Puppet,IT Infrastructure"
Copywriter,"media,Copywriter,communication"
Graphic Designer,GRAPHIC DESIGNER
Sales Executive/Officer,sales
Software Developer,"c#,NUNIT,NODE.JS,Data Structures,AGILE,SCRUM,ALGORITHMS,PYTHON,DATA STRUCTURE,NLP,INTEGRATION,JUNIT,.net,api,MOCHA"
Sales Executive/Officer,"inside sales,bd,Lead Generation,Business Development,communication skills,International BPO"
Sales/Business Development Manager,"checkpoint,antivirus,cyberoam,it hardware sales,fortigate firewall,firewall,vpn,it solution sales,it sales,it services sales"
Manager / Sr Manager - Administration,"administration management,amc,tendering,bidding,office administration"
Technical/Process Trainer,"process training,customer service,Process Trainer"
Webmaster,"layout,development,website,java scripts,design,project,websites,publishing,web design"
User Experience Designer,"UX,UI,Photoshop,HTML5,CSS3,jQuery,Bootstrap,Interaction Design,Javascript,UX Designer"
Technical Architect,"Java,NoSQL,Architecture,Design Patterns,Hadoop,Architectural Design"
Head/Manager/GM-Media Planning,"Advertising,Media Planning,Corrective Action,Proof Reading,Quality Analysis,Data Analysis,Media Relations"
Sales Executive/Officer,"co ordination,documents,documentation,statutory,specification,registration,monitoring,tracking,forms"
Sales Executive/Officer,Inside sales
Purchase/Vendor Development Manager,"Vendor Manager,LAN,DNS,QOS,WAN,Application programming,Problem management,Delphi,DHCP,Monitoring"
Lecturer/Professor,"Training,Trade,Counsellor,Center Coordinator,Team management,Academic Head,Business Executive,Performance improvement"
Practice Head / Practice Manager,"Big Data,Hadoop,Spark"
Associate/Senior Associate -(NonTechnical),"Customer Support,CCE,CUSTOMER SERVICE,voice support,Captive Unit,CUSTOMER CARE EXECUTIVE,Customer Support Executive,customer service representative,Voice Process,International Voice Process"
Trainer,"training,travel,training and development,trainer"
Program Manager,"ERP,Staffing,Consulting,Engineering services,PLM,Product engineering,Project management,Windows,Outsourcing,Software services"
Associate/Senior Associate -(Technical),"Outbound,Antivirus,Technical support,Voice process,Sales,Spot,Inbound calls,US shift,Medical,Comp"
System Analyst,"Corporate finance,TAS,Analyst,Analytics,Management consulting,Private equity,Due diligence,Quantitative research,Competitive intelligence,Assurance"
Audit Manager,"audit management,risk compliance,process consulting,risk consulting,auditing,internal audit,Process Audit"
Software Developer,"development,python,git,tl,test scripts,wireless,clearcase,stateflow,automotive,tools"
Head/VP/GM/National Manager -Sales,"customer profiling,market research,sales executive,marketing executive,distributors,Business Development"
Software Developer,"SAP SD,sap sd consultant"
Interior Designer,"AutoCAD,Manager Quality Control,Photoshop,Architecture,Social media,Focus,furniture design,MS Office,Interior designing,3DSmax"
Software Developer,"css,html,javascript,ui development"
Accounts Executive/Accountant,"ERP,Accounting,Accountant"
Quality Assurance/Quality Control Executive,"Process automation,Process control,Instrumentation Engineer"
Business Analyst,"seo,software development,web design,mca,mba,it s,closing,tracking,options"
Associate/Senior Associate -(Technical),"Solution sales,BPO,Printing,Telecom,Pharma,Industrial products,Market research,FMCG,RFP,Financial services"
Recruitment Executive,"us staffing,us recruitment,us it recruiter,us recruiter,w2,c2c,us technical recruiter,Talent Acquisition"
Special Education Teacher,"Monitoring,IMS,Social media,Academic Instructor,Mentor,POP,Teaching,Training,Testing"
IT/Technical Content Developer,"Impact Analysis,Web Technologies,WebI,Web Intelligence"
Software Developer,"Software Development,Simulation,Functional Safety,Software Engineering,Targetlink,SIL,Spice,Simulink,Embedded Development,MATLAB"
Sales/Business Development Manager,"Cold calling,Development planning,Sales planning,Strategic planning,Service,Prospecting,staff,Market,CRM,New business development"
Testing Engineer,"Automation Testing,Selenium,Functional Testing,Test Planning,Test Lead,Test Cases,Test Scenarios,Front End,Software Engineering,QA,System Integration Testing,User Acceptance Testing"
Associate/Senior Associate -(Technical),"technical sales,international voice process,customer support,call centre,ppc,us shift,Tech Sales,International BPO"
DBA,"Java,SOA,SaaS,Vertica,.net,OLAP,OLTP,Netezza."
Technical Architect,"IT services,Business process,Solution architecture,Automation,Front end,Enterprise applications,Agile,Application development,Investment banking,Asset management"
Sales/Business Development Manager,"Business,Development,business,sales,verbal,communication,skills"
Transport/Distribution Manager,"Logistics,Freight,Operations,Cost,Operations management,Management"
Retail Store Manager,"customer profiling,market research,sales executive,marketing executive,distributors,sales strategy,Business Development"
Software Developer,"C++,Software Development,C,Linux,Development,SMSC"
Accounts Executive/Accountant,Accounts Officer
Email Marketing Manager,"campaign management,marketing,Email marketing"
Business Analyst,PL - SQL
Sales Executive/Officer,"Sales Executive,Commodities,Business Executive"
Associate/Senior Associate -(Technical),"tech support,BPO,voice,Help Desk,Customer Service,data analysis,customer relationship,cce,inbound,customer service,caller,technical support,voice process,access controls,outbound,uk,calling,non voice,us"
Design Engineer/Manager,test engineering
Cost Accountant,"Cost Analysis,Costing,tax,accounts,accounting,cost analysis,transactions,taxation,reconciliation"
Associate/Senior Associate -(NonTechnical),"anti money laundering,aml,cdd,Onboarding"
Quality Assurance/Quality Control Executive,"TDS,Chemistry,Chemical,Lab testing,ISO 9000"
Software Developer,"J2Ee,Oracle,Javascript,MySQL,Hibernate,Ajax,JSP,jQuery,Project management,ERP"
Software Developer,"Business Intelligence,Power BI,MSBI,SQL Server,Analytics,SQL,T - SQL"
Project Manager-Production/Manufacturing/Maintenance,"hvac,ac,Air Conditioning"
Software Developer,"Transition,Hardware,Emulators"
Software Developer,"objective c,css,cordova,android studio,html,xcode,javascript,ionic framework"
Functional Outside Consultant,"Business process,SAP ECC,SAP implementation,Development Lead,Manager Technology,Application development,Outsourcing,Warehouse management,Operations,SAP WM"
Social Media Marketing Manager,"B2B Marketing,PPC,Marketing Communications,Social Media,Digital Marketing,Campaign Management,Marketing"
Head/VP/GM-Training & Development,"Learning,Business Development Executive"
Technical Support Engineer,"Customer service,Technical support,Customer support,MIS,Customer relationship,XML,Windows,Linux,Sales process"
Sales Executive/Officer,"Business Generation,Sales Strategy,Business Development,IT Sales"
Documentation/Shipping-Executive/Manager,"supply chain,logistics,icd,exim,export documentation,export import,custom clearance,cha,shipment,logistics management,import sourcing,freight management,Customs"
Corporate Communication Executive,"digital marketing,client coordination,business development,social media"
Team Lead/Technical Lead,"Coding,HTTP,Debugging,SIP,UI development,Networking protocols,Cosmos,Automation testing,Technical Lead,C"
Program Manager,"Project Life Cycle,Delivery Management,program management,pmp,delivery manager,project manager,project lead,microsoft technologies,.net,asp.net,Techno Functional"
Software Developer,"QA,Project Coordinator,query,development,developer"
Software Developer,"biometrics,c#,software,vb,banking domain,dot net,research,sql,enhancements,vb net,net,supervisor,programming,applications"
Testing Engineer,"qa,quality engineering,quality standards,test cases,verbal communication,distribution system,mainframe testing,corrective action"
Associate/Senior Associate -(NonTechnical),"VLOOKUP,Data mining,Macros,MIS reporting,Excel,E-commerce,Advanced Excel,Powerpoint,Business Executive"
Direct Marketing Executive,"marketing,Marketing Executive,sales,market,business development"
Sales Executive/Officer,"Sales Executive,Telecom,Technical support,SCADA,Industrial automation,Ladder logic,Executive Instrumentation,PLC,Electricals"
Relationship Executive,"Banking,Financial services,Client management,Penetration,Client relationship,Client acquisition,Customer experience,Management"
Software Developer,"SQL Server Development,Views,Stored Procedures,SSRS,ASP.Net,MS SQL Server,T - SQL"
Fresher,"freelance,part time,freshers,business development executive,Business Development,marketing,sales & marketing"
Regional Manager,"Regional Sales Manager,Regional Sales Head,Pharma Marketing,Business Development,Marketing"
Sales Executive/Officer,"Sales,Retail Sales,Saving Account,Life Insurance"
Technical Architect,"Six Sigma,C,Python,assembly language,PMP,JavaScript,.NET,HTML,Oracle,SQL"
Software Developer,"assembly language,development,android,HTML,SQL,ruby,Six Sigma,PMP,java,JavaScript,.NET,php,.net,Oracle,Python"
Fresher,"marketing,channel partners,business development,Retail Operations,Operations,sales"
Service/Maintenance Supervisor,"Electrical Maintenance,ITI Electrical,Electrical Execution,Field Work,Control Panel,Electricals"
Software Developer,"Order management,demandware,jQuery,Front end,Coding,Javascript,HTML,JSON,Object oriented programming,CSS3"
Software Developer,"Javascript,HTML,CSS,jQuery,OOPS"
Associate/Senior Associate -(NonTechnical),"Inbound Process,US Shift,Advisor,Fixed off,Outbound Process,UK Shift,Lead Generation,Customer Care,Cold Calling,Customer Retention,Night Shifts,Market Research,Demand Generation,International Voice Process"
Housekeeping Executive/Assistant.,"Cleaning,Housekeeping,Team Handling"
Sales Executive/Officer,"production operations,Quality Check,Garments,Manufacturing Operations,Fabric"
Events/Promotion Executive,"Analytics,HTML,SEM,Javascript,PPC,Event management,Digital marketing,Customer acquisition,Tools,Algorithms"
Assistant / Associate Marketing Manager,Business Development
